n,F(n)
8321378037601918969,20507292616979288158663319590193146472437431140063459292924990268716409976064976145709818625484971835683242857034847
8520642617393368933,11388380947165435407338411421323922281471420537013092997594865214835706238709989627966544205633965423922394551953635
8617340866251577321,4453542949945096347472793153942619545335261932318852922263015355722246312183914180091011331085546191204468445987268
8726973751812159161,18627386073040011793281622991283813388196785315186459186549948763197952640431891357230058087407868134817850870059632
8813175071975730179,23039941041784822592445153232918648631575314417226888512605774684229693417639678389337469912309615781205657077683325
8923264368540675619,5546106577793288698060012098397327753545507472546716436261031786027758794110487755081168304561443344858769708280869
8935950768557213477,13932070282458374450379010207561789605930665005991520058505829355432992157084492155773075457603085053715733984679120
8938966773057620231,18431171585177264280170488141594108866648462831113270005960376311726130025635789607871358185796152066975948376779913
9084030604100288407,17015986868120992574102511240528409505502603644230417388474995214727597832379998210153056948274782041349391872340226
9084404035821710753,2938507367125757473187854387750119345523682332053562281041264675177994245218603750164818160932237847634439827561312
9136941780710942983,23245327227445629376290113224511048003746409345104292841772932732552785148387853540679203515628491240168620366727148
9153020196631725467,5522390200405398262765156230996477430521210537951830873193256907665450222018394964996243547354922767893863065293954
9284623708399980769,22857324935716483282855869311361319132801880151202930450711052505032081491065276024231779495866585623980916568774305
9301557741187352299,7601139692488251546893169748798522766960789042355685316934883627272148230768790603857213433669188848057465689998367
9301940115143427821,2030321898247916601176812371452916991965032190765117565259942504547499710260461920079302227059198452211506658006323
9495622314304386731,10960334738788867961123838053452080620366928838316211628313455966366070533947931238079956725179189479689195193401800
9908964613497566677,1070663984961579765842144983859665919252201630942229508186144748253699922579847264240745921139675272173141375090095
10134151738476310823,18854764410614809081756359069008523100891997350481903203242275576062451153375577682809265621939037374391011841794266
10391941538873950613,17213805009227992112877628743131924443858705751514326574547386080345926327127007676482883830154996552598539390860466
10625681283221031127,23921205079589730703764579012054991738808683189292421931669423135490588273707495647605883431767142507349953864656118
10628104602257846887,13798124314532441221611505567551387219775842556229676571894326873282646843696639138650178282793122117826541496927276
10644379456768986923,13060279781507028754212473526541254073880473095264084290918104739171260178088650005395321344319485041297061891491839
10817119159496689531,17698597579185150814902609763371309674038746129585172001462494875751403154949683665717728305192508174189983788713397
10817563836051030749,14627914305639711341200134823310110803636149346557186923335951737395415216098668614876568389490168413944779319542044
10867156221566221373,6917294983648072405465517126914438982225473931364872805951974197556762400516389911607015205718232742139736280064825
10886279322249135577,21020559114666922825810945950332235183348767079590930415060492406748831440449493708214786810688348928652409458640778
11062944637646192969,20998275873558473544711837486583714175834685497699084257229203534741730196309140346831207445865993922057527801780079
11063399419740186751,7967751558722797388421973597186323678214210378402719984582181029796029053633871557291420808638891544950112071696414
11552122793813470093,16876310343762859205693972246405019016758384874080322890375877076704367654000048159758920227497567607148626927691022
13434382958511502717,6412075220812478975013741947498166479522592913214204269191338051719228450610786712985297684955255333493338685083728
13739687315958674783,22849588060241259116800488935525569958106382383803454263453664813790944190799034418802317997891395635787823695321605
13756084083359890969,4562226666716758968179921036730007248726629616717592574677068926245569976648390421478619286552306732184194094547613
14068699290550976531,18617549851748593603991560093134569269949807232962331840099941098878848278304634179423497285497724938134530408291032
16361001122548552739,16387563226085058026560627474927149156253262510562208387651998010526251536549833964907005086147209012443545503254908
12390525703339870345755606553,10592937651266506104358973046969160792357377867139348972649543731937011554254497827017930666096203278700860333517849
12994457419862960864284503257,8985641616611739549300292857927853817923712568794201315247433658219168186258967580939740930225239476938910588469940
13286734002047901621191497603,3309385631408786894079878138796024483273912353284395712232586946537337153880525349552758858719359181227347101850412
13310114870684355435424303847,13175006548291190805807045283276992032433717732718425045142856614859025557419491104869557588460950026955936786052732
13526114807117614459562935159,9609355309092907203257442441574444263693835910129993123949466650887591677052067727465788053617530477256962000300992
13526670846672820085109741761,17597475152814094289971257314816885336495661388540120766732533295018187219146994764205278872878812208304818899016296
13868264647982428751416526381,19719814460779013583938850229401354859681801700666486921165029985049808297779488441255485037662475513001242076946745
14180195255100558931361323999,16853862675941080790530621085722891634498771370993069075321173390321814407616443052218469299122220759152646562939069
14205148361142094070505288851,17272479955934175268199659132243066821775624038011199751388824057125452955220044624864686825614010911694383691257730
14435673129173186580890664547,22821714132443456324602577905340540869062447634881007750219054134522617012075851369892852479683109590444147992659938
14436266559391715810870357813,12887249577658774130188073842551914549780170188512960796396470039891969298688246104307343091696619425629307597732755
14871357992347217486501267231,21167081442365219964693628555187963013639864307795615091086370447616992878888619919420738846797265490210121096921543
14897527348007619474934814419,14896718632992618331122013777686480961270187856210440933860810763808550195988910281953217864553684668225849684899067
14942152195614895488581359109,187737795971691412506422811288221259231976436816265810066093700619457988987218606874665135980521990293287268927328
15139288218702263850234772643,18768806720757418433883692449366145866256312883102836664951667223999340358021122728640970672345107797271569761189588
15139910573547487202327102197,19293336505767905350532625838018689623916054706106428400055707475986070381858277639069823046386088073370662082343817
15232608547290834391330919201,20985643966107148860580341894639990189183676757820059679500114142563057803679223448348457182882583054946288260943989
15278237114985664165542700711,23485017014083637624615228381269424068612109648204719828945604609877814044824728803522749972553442050178456340203341
15305122462048908931073162939,9715977100989400265245054774161466498939469212046639142129015166379000012091577551426451947918302831600351482345158
15479807201088655940397908497,22680591767378665151139536739177902507680224233783576458048801627223861520804745724835765632375265843465527264655510
15480443554190304379722639863,9313397092449034694736906249257064667665720881748661359681756077862574209165344830029984611287264109510932601325748
15507047254109247811117905053,17108102112704617014888482642657002837941992108620344679603416518103129511311017376977973527652035496827680480975277
15507684727011162722915120587,8324134332683418109551289581558248414321257978503823596509344250682763702205584988274428432650637758196416253707421
15553497890136843389746499083,2016467139742265848133704031514867027642913429127385006975800300537140134283199148061605187270025025588185914397717
15554137272559072457935562957,14165029102548098878379380901173345133199519591304547595828312909730212803144863138003777014082569915173776315440404
15759347387161383219212198939,13172307974552811583213181722181206124813361573448900110384670914972103035313901693833304969085494735045368609470873
16022919962769349266916214759,1810973902852053322921026233775620014182218287188359940214584265723253857142179882116233932699417979444273876266859
16051115739606921345804132091,17959523905425876751070400104731239825912593488531529334695019552820508483165556950872103181920289333693682328314839
16311597336732289837887498827,5374684090618817536064257927032782470387082481616590313820486124123394987232985491170316877118175361745100016647346
16312267883556499639429729933,6083980544003110619527168508695835382197541251208575707559374865669221183235982108529412728058397300158188122306750
16412143914700721720707584089,4719119598076296427693780717908996473171716697220225058312768116770352523933847326069791086402164450263880765414190
16678484369065754805483250633,19887745150369018025490459378740648741199635307151651171774693412528630607083927569475401540545749624265131477025984
16679169998099836288911825407,4218666492074889925517317553489884607215303717356468361838976939048092100492534580917817233145847719694250283277350
16707833752595836015706115317,3914142107922855654463390276332107174911455714859870700537238567117950345894603165934082802332289345195161322655872
16708520588141794437971694643,11415220907573363202019557913275927670561190238983830952604447013003258750705926789946266649190782816067450046838799
16798835584618447624479110113,22286720476921479955604012979732495266263151731398018388312264085309176067304809750053080670477081139585427513211736
16979670718700124038374458371,14959898132182538600078595172266669002647813002597900212539648991959687094516216232376948254301271719042716429490390
17100374975061445890953811347,6501666700256286204875034043669418951668698303068263438725428013361893205467629910049674341378340399356787318910899
17130466765930773809210379703,15351298765208632276485724518920674994691847127956778473433124924287109397443537335377653309997247098023292181552481
17201102240288776922074679341,8353420762509737701451342962132495878938476717668106114771705888926999680459130905982958611646804457202082827306958
17408464346602506530469669191,11574565385346646958351018461148506672577529421160585969951540512519335302124489087015305700241650225491950336287075
17409179984086745849271531889,19006828501188538691870359146247639316769571467418904688874204662439825258513171611770132005147932375726830608193355
17515772140045560359712440237,24101941968851408690283771910750194680371171837675537006366622468550888662097705328321155577384218226193602695472273
17800022554530132129831104989,15278678608545150700011195880933854594229407336028965674645216808686691375536883637696398282277391518376154726784210
17800754288421571735056712331,10320388331757539266298633952725007202630118907960550526633019923644102236026916201651230994302111794839182144444690
17831345525924700404149786361,358845222686705995895605935877499489101516821168164670914805296706941247235066148671113707258414131505582623294420
17832078547459438200909834319,9009246007313931101247462488477217392429559970353145311819867452964790848643360732169487159146881856852318318410795
17928466740698293413630063829,22825914118778311613543316576919921558383845766828719602655567258266499426448483926324168669635003388740863702143321
18121462062939652789177102943,15288436907227560574492670992394779791420674952839445059255329418176947188291007224494283388262894739065333882221450
18357783660954420693522263953,13582034201865934578109726586547774974823336954493493408463733262550899932723871913901722808233270984327786565710412
18369515604046740667912998253,4681144241187076503199219577230587021190503085983432404761957429963112553580335214605616451426565648696737690968019
18667620785056335202601968541,3521390896326600862126649294905207706245255566112000694667195192515722841853964918134942538342248615245249320516659
18668388184690752615669710539,16968585428470028067506389097203919742157963509996375642975419803001102110436769352321489413912077171480032452614017
18700470482300463372022279609,7170788486804788266919254521849089226610890985895809463116378783303966229198363676679357082771983709994205087433318
18701239232339731308229863311,2480847349260563125278711480900013177563968049453210223019694047242625059606521800250144421469490149934922737018311
18802325522204108240571236501,24461642651043216259409156908003883906489870092910438959429339711036660934374802718884321819966105626447489303060683
19004727708934738918729547167,6242197246255122092161810954647080947972980301601728847687870975625575493761173412785316755557364560351021273823707
19121089013818556668212370211,3944364603394959519875619058214007586276559922392907252760703561202638378983613179815843928954369432159215736561760
19121875054894054275711588469,14757026812393553303360498834701254413623075840925856604361355671021899230196036609628205537075081838548548899237911
19225235018398867661964971479,21701971507115707705144705676672772337541236751661815885497996824993789359557491533874118270487828255774989639174623
19252567955290800991815243857,10638910331989726851133576092963095282718598589092243050201642437912358001606494140959291448147419683065829198426382
19259065957921014580631523371,2042157675419838678140352741797445726983767216375764808918963774018653488840966440877526474154278093398293582997524
19316755590794596263719561581,19595241774099424317321308279271105248718723407458133864197243308027482696388052346542612131947651941864723252749865
19432189716823750424963155493,19656860031213368310686851025276648264098834251454789434229121762147291883993055785807146703947425218820711521786240
19466384837687739762648759457,4719695742189720171738651647937345477917516435475842699096604348488824467412095446979774154205384846751806993095670
19571606988790494432983332987,2692289865374738627219525617278538471292157007036067822155405951931758876916729677165344590681796311788644026698813
19572411550026288455832836573,4281013905101406736156526322217223648371572649177096340594068397421291665086533228093255406185855330295214780324140
19685604486054626571528745003,23315460012063702450014475247745044863956524704843550058042829506369457987672216450994043563231718911332565942459163
19720245544756237339457966447,21593298989085649822874566285293146555809129974993716898026541842991234053836776454343604323172601272147399562693811
19779316619549766945237337417,12984399693153770478617393896115772913027810060158792823135354611740415243298634218258274016945671151134797503928831
20003786224320918571077017629,21627482854821812358953601063430726685959326591757459202886892996963584010742122178567274661040484983832309466550592
20040270715500432109607807359,6874123103442227166907232589857656061764122717237426912697133657381107212435227667317622883052233915373993677656239
20041094542842854450877005561,22377245108083079371445612532927601200588350254073765652443394486187892677045340487893340110316906686217490116877815
20258281530929728016534783789,19862579548114462112364486619134713072707419894006605805945597904693867306888440861972121478220130470152658612474227
20458384185283284798687799871,18173272818727516747940435424223591175121001645410220234517648769965912439761257420059402091985771636789158190363512
20713938977446097686510622431,1219647556444987949949162592481423828885353138764254889402751008972606692834559432618078880859950667138676409597650
20743388437299881293494769673,11687168813113268669270228926776581632198946228914292283665773551010232794519674143228692245835128186384458756563414
20750389612049043778711139219,11952767998512794610892080669643123962699724315539466528731635175863742140806563199062221527904030764594314590827813
21087132223267206781879078243,2719425442045344649275478414762952931234877781319171299013139966342396126555709119379962153759091401936174773542352
21087999085613800034172524597,5537149549356920947663850102039110886767103758005103635614526157994536073020078783109687162431846664499946996912966
21209957104193290278842110867,22131176713708855144981975027052159410405615867027736977823519003986080132194834114293958569175421150636698238696281
21247280589465256199073248183,4441854878956032841739705941258433465028392759717262127854889133744557594246516402726954973103525453869941235055285
21348933037903889692206805057,3509037508639790910343940858967128013681588649262144352367627608678898708086919090455058905305826844880417490973601
21592086874106144772557991751,10152097259566369711152713163627768141501161221247658001375226672566137232367415833509585439638292691260529489353387
21592974494428214009113142129,10672616004800961409522162085246502013065531022243591865338933655469774770177066458376689216583380545130697937885264
21620541782284816835611720337,11870002894349188465195333012718785555002393466766103025045910849488824423685044513508627776029898252262298569835054
21834100261694428432226922443,23215641893964695427089457473642632516371737415928666463860873751767870493641457101078299033938948849625150734534692
22106839736322789713780978923,22818493986207517905948458663210025422853861864084665369876861985984028210465554797390322016593865341960586519086226
22138269513634470041832641309,9635286089768034858910561311260691443669373526246595712476188788372308278627732554642356033467450348435027861457694
22145741479652823526399860527,23999309948850924154304029834536360236208644763717653940276001922646280045655614073813780704881720003546706732055114
22389510175970147919799704833,1103601956579571643329937354693151470093865846260874296769697526014366380090999798284380494226484304830704401779030
22505128216607893040339213119,7139641505181315274170000492059126026183124714425678731015125386531139568248827660906349395155909794084370536899193
22506053370775357546486348601,5352626208061596413429104202429479371562908823472453765707187969225072504273335588100492655351390183785161271493278
22636212408814035860569374511,7756629768983188973861200005489066309258461635159447048745570604120913690540072932399079453770282001798652808641299
22676045697316369999288159139,16750044767499676502519845388958591228858707823633680622694595931634179978793342978058961331673525607112377343460065
22893104077553498400298552507,21798790916341844381265129782089273553425779052016249085348890970562003788093382781528117980719540624440686604277446
22898325135238575389756742667,1784430865845108122291831444974523903874113735009834092413222972013067807918609434420068113571363035277618884910033
22933389422246591759141732543,369369132844314219537198540963648451394206843997360965614874290860497115148125088785258646639793875252125184598097
23002085319503859639177956473,4878925605262182075207453560733649247725482227380769293322306545061565148999158825409820497335516692799257088699524
23044038346272838017526330483,19903910069207066630933687268095697795836256145965857081728003069043605571975911191574072522303008538242292828966834
23044985654277754577497563557,10026041501357371821864632508857011914582410596582116418815110762670607366277959789640161970135646565713883172800693
23184358316931481387620415787,716765152322806560441281829516311312079852537352558997408596652546045992763991334290420805445900287770049593084708
23225156186155408079476721263,22273857948228034856773385112496534644558449590367379214065673672627021552933802194990466420137609527995577824110149
23305558310759703661061534671,10135117256794968670674121323237131375456353085481662214920516357499593171958641042888443745018236618511051911534944
23306516369482531778924928809,17212739188179490976391607628298501679050776776196553501173528464570538535772739745440356056964468503520698368083593
23413363508295757839271049993,13419752641333993034197732262215033352453176544469288692611816831203156056927828363022126884985122851565466516505774
23454564361450538331896539957,23921788006735144282741421742382369697991749604535648761389835992696970018314131069513104191144358783309582922715233
23524821413904599179881791027,7574972493562137721712992777000322757026448281434172479585888749449332731021205855316019426905288423941375171019465
23602059940075012276196560511,8829474582259421145073613250334649552109902075433969363882483169446392513009235268186327382697187323223905482299087
23603030187562791248427762169,10420132352847224920252138078976739078032648026235525652520161759263023793924535377089799295496413493407013401611542
23739533360882388647162766959,13269568492152815344724687736240264736137061058426353290737041162360957591459904336367519337684853808202203527306055
23747545775152385544382547477,19915763004724194805795593967828789812328588527738654211447638758122553172427876290472225014572725904433794065837259
23781308180105529061361809891,13539352728777219922513687151727028540920512920121427117737465088556322273398046888958209093214153199004982906632282
23835191009707452653935897829,17573088778940943955194139500520479081980070380510325388028928586225062900629686866842942559038841780810229721624110
23836170840885604771665738691,18228852328354370986245714194627734986384981352996624491877232978355241737578971705165645408870657434426100452788681
24123239433802176907360551737,4433402708621936135432547721043972851400071183724951640123395117483990349471983241097544085570774131630385558450242
24132927000462207865984547269,11082831839565985885083972112913495748426957045003946313037700913911000670062488258897027830247110335900306858976905
24133919071148173481218516451,2956773125590327450235723846749579555316361777511260310480759673305466302607476233176165746500966315304826310962293
24167237310327860826061045427,14425260574330133862412899660650258973037575593726200125250597958586259459790767221265883560039113733317588063436936
24168230791462407479940991333,1174106281310872146319747522379655866039020492012492888900219966158190593060414043696729406064049168581781738224234
24175394080477805969863046081,18473309558686855479580938616791322659617989580005057436636429660772980827199214853840046263089091555010402589051446
24176387896925700969965088199,22033157769539989768918571072028409435284436369363403314945563241323566203430668308150048887208082876637076420132785
24316206964270487265172750289,18571229361408394893795594582980340885125340726765447713313649813775030652886618124355145687837384728287743529841133
24568728481485454196355209303,4506986105307951336019182019299660369580149735169649364106965851441410412095255986805525198988773530599609794528509
24665829073763846173108719523,11984850357571977758359223750494688375174886028965258446971102602308887137549131620916248656970316690213863809248807
24671454423476497835365275763,12319013403743737475314553041732807637568997096651471452905479907026223078444816589103466910404013859300721760673645
24709233909692224577605409927,9266457540197366266112161683975015124825268783748205433066999654673730245441893683813562384985456604182270145003745
24710816568290406772349572033,22316639746051415632375506325865295918022215843571461947035949295426837022698822028810906554091876156384537079890364
24711832395203702653568536007,17446686391954844982341773751344723095184385723791243989662333288569718800704157257770051009063423758978908241093988
24754300569399607384609803917,8909190596867580550924470755749820301458913726855732039811171256892498026370371425260617432743741070456851416213521
24755318183879028506583774043,16268738164648692561012893931527824804268073201474950434846727828056506284596678814639119553638345007433279134752318
24889128742555433174664415513,3488141993246730652813132742583557902824925377292700235327259702852696147972447997118183261386458219297007606980390
25110221655152127638249904919,23546981279790822567279692697134460917674965119118517973930540487459059021444119110014341638673838645612142551912687
25111253901046780131311840801,909364208804126598939544724996836117975286881346252205920323004259266280460083226702639165970507596442816704575711
25157053796685805240098560171,10493245790546101356775548339211650822937992131753657264667100040142528996012088566683532848567433371860852938373080
25226374736301786588343902977,6139520646027024542158507083335714396352824755175811498954286267227459361923804274929804258773403030899817990842233
25270765972988885194742842573,2642094785542358868976255692074685990696643695492449442549114222142350408581560245043475745570409764338641369759985
25680866403888074712895587581,14400901766752629347204356743527682952251888706098361662141746321188689222862881352878967565447928547867699939835514
25681922108185734446003566699,19072904330491746165441834893599270703590553681137435906570125155345234462564035613420340113052587047764835989965233
25745397274012731943997022221,11340773607430256041354317125385519740312858025096800550102682030226553869173689797508234431885679692161842425539965
26324473142985896660588831359,4683337959889047285911877941011878541338419941267670747346887170555573994781032705199362106017547563655843588100550
26330476767149015269127035279,21322754674634530410007021065498012356031638307775004718661985791508753242632168665425248986718962718763063502330233
26370796720200970251008205491,2461067455387435110839893889596267978145491653768993046511014916088217786539853846922067201474623767199317587867036
26798748730427680927759018627,2728170336553512193977616137698483488068154079922263380254190195112825786838554116588057859435920578208539479649065
26799850389295480360227034133,9397158336557482237678591289721860527472037927347691037028308646006874986944455636054325547594889242658312253079053
26816415689155491994667738257,3996256512941957440213720199172871084220573434320442634453821525660049427999145854847317651261785974916879662029454
26922712480279965052240961141,3710152378197515954770148468845169997662424764251400558708269558815164526101422818687156732750728805537686264771427
26970088788388595773328377009,4228957687666876377045936606492796602557610398519855030290419681044343657926998424416530107253715502133918216810844
27407766263037750444434483873,2259221159042598262695686579765334922247610160870826336961964190755610026480541334297746155405853401772140625241137
27408892957759730763719163367,2880685256388692594227017924584364648054877337587622983038604824243747281651506536061799578402746153131054183113997
27607565130561864269470107071,163352568180747984247307903734647255103193256095749141053757381729238056942299375705575360445531881900496370339014
27656146584333010723174030579,17424080476064763872895899613392477854745042891253856563854452784214444647128150882019257637755479105473345395217542
28104957579748385207862100163,10328020092592009520208223163851007574106448364669211502345261577704385766798937416602663521423704583407788927149080
28106112935024794135943352277,19235255773858304824365943161378119639779726701828864493555873909260305217713797358801712837603000125216828802372376
28234963497788476642380325429,2679238212174413708707779266462214338226260713029954454056153887414922341584084349932286155849175968074321865462603
28278199798168530870745459841,9737422167745226439129070245535004557372204644852673423734388293514060338917474136431339575977809101999532350312054
28284648994043245486917911921,7775127031462203348763060304308896305595653078374649821302004656134833506831414541923678231132782751840218849639163
28619675117719419503172781381,8375366420919711909013043106608383180010648398305047121878841710860410670081780543674860084854348842839934589441267
28737105631678992988397790577,8927459597618292723223784004495786443850131355551262048031294932001640209204840062723333226845999965265875289220442
28738286973672698936196428183,3908542679794432707806462552901401693326544670758516548159153931847017077165427439618219777063428449276911199552192
28743659486748051009161322337,7406784204045209036265514264599938357779498747914196243790096933842091241285716264180557912136228172430401487154754
28744841098161520832062525223,5005700084061697888915600668598375529472196895056882549538019897949996485041274221916103847843345811342005207022663
28787674755111630614233294973,23272415416855939781180563814458767341746544334784892143334883517280627465933646223412670931616156234885471655049767
28788858175930875276661420267,16707435906120914491302205514161753765591121087894115187383773705888348777117289689096782094120550788790116604216115
28920838737806080136888747659,12637320793246248923464335640141546819233338369642360591250500733981937911000193893098236945000328215012797857994354
28944471332165147632116858697,6180810001689986623661822845394488304714432687349472388563873690949770859041813460989616259397589048245479579474260
29256051103745738859428547899,4611552108062201017605520517976776278313527316976551537277785722702573260237882460975995788108024187873160827098115
29390173479816571641915336923,5836771195257271287229006908352940178937238349684098987763319016876042250603371968716037810661289577155185722088882
29391381668510972931275144317,5347371658581695451846937458529677535879868621993826022469706996662079201205867385568330118452970667029379458861750
29441891816710218031765202527,17302563451698586466427718236647328538322894599555052019439676662801989191171486687873980342342951965218980873492164
29443102131472707046160382233,6890313737123635105527923252060425127686669101016267627570359445806168597292328983472236228650522895961988736913899
29602251689402624889135168803,16127783338875887827821817257734784147728100219177591117053196564852611071911263787033215704117059229850687931140133
29637578638578507693713715829,15872691177884884882853660222018018578509433644629166827296900141568512176892554288373852386069729713975200456061307
29920912296943432695951294601,6048854228573863011610429114161490564965562580070426055569734102798968949293493274030896550063388238920377568603067
30014638490057888961643209989,2474976637792260905842284850738558623948600291614403833094510401981906750481930729930510237712843011945034985534904
30311110272333854650367601671,3324779189005960432253518778463768012694369832427947370105424826204874818749788591382022247715378625088187142964674
30689739855966493865609272231,4643047071554387366417614879740540570883287055538994648506051117774602118813863634899586562180393226618103277594374
30743745059649257157962559419,14286952264188996630209005328749997350739085390810097290744635618712298280440013821547803812917848618097672336540616
31185783286140519344496858433,3365616174175238381734300677887905464839558292228212867062002304999329430212326399528156885163343232630967085026153
31242662390049661427696037643,7966637205058886446896402777575457000360206172457884026487525651091380725368460225985652707967055754144052577074234
31243946731957632021674037197,21497951011429622282959329639823155646516353206929860348959531412874406006989252768008819575652290188577669225686241
31894498792990772965551589067,22406157013419681602989215118143303897343324755817126085573745038299738384265056902653984454492405847344243449208504
31932561280590444410514989581,18332218261356204176973780888429250894436587793195141870112291383521025223298125939004076510430715864547944302825964
32658247762323230593348267919,9594375547003444484651095484634889595777904749471857213256306018792756401527090558095478739815241695710948002835082
33282859136983105669796222389,8798338028160531595383140689254433383281243856553751895753170484603492934148051284852958033146806853906818991529631
34039231942061101283548295111,24120616544241620945120539147035362040517048214648139302139300101551374641483690785013412313113688432402371637941312
34079853926814840995510149873,7514711354687000989474604818948734629005838218013081432081602344480192061153327274324332771303534952947512275226931
34854338913371492464960097627,15388878872736348485662269978508960349316608949483794101526895023288787847239292870463856756034775725763371635627968
34905112682204057643228449141,8103471395807086984530710298625130335461181225656312560083271136734765496043506856763804324944324091940572590956026
35249890480239648485680061399,20212854926698025262920946353657173081896218937406284286754537810766550530945533300044095863220453993236773167671498
35690212567939988706339826039,2556407578235223771407120771644563365013561385680283018054541247101661729996227373431416783407750034323581915831139
35698352165697401600245508359,11268752844933818508829971489402689892494106714848004195315706151542453168455970065556967464550031615718326006638720
35740954123340773265756476337,3486363187917470343203124466224580812679721240498349337599602031802632618535797821016405478523110566975196200572962
35753017179782861466575572811,19388521400337397563968720984728043715480560328804238865645717221619632024628852183638499784664813999891466475773066
36333226254847984978150368667,3420745246827541954219226030428313465132165711685523325403905302616307193553210611558678866711979390089313773777683
36334719862676546369999439293,4636257630195079763235685398133013398938817850754729613899677114799747664229037465799386284194599793716861545707483
36501293914128976275342066461,626693709990139308900955564068680091019797330837444305823105028443913009137311198468777950638919279354233302270228
36544854092202187449869102923,1037597356830779699825495983280275055343961179002254255279586733168565769143515421972505396062504291235387000637488
36553188601609987245643851163,19070670600506578864559390782190606164048778759402621350507287553534601406900934534639827606342501173895050348864124
36565525798197348539423909689,16426857740716901032467702450586277238300409100700879853751920366785126877900818589222642943770076212404638466754901
